epoch,batch,train_loss,train_accuracy
0,0,0.5678172,0.5
1,1,0.16397503,0.125
1,2,0.5571706,0.5
1,3,0.4282023,0.375
1,4,0.2900083,0.25
1,5,0.4187747,0.375
1,6,0.30124378,0.25
1,7,0.5154692,0.5
1,8,0.29411462,0.25
1,9,0.15955457,0.125
1,10,0.40066797,0.375
1,11,0.40674388,0.375
1,12,0.7935562,0.75
1,13,0.43799108,0.375
1,14,0.6132101,0.625
1,15,0.5030787,0.5
1,16,0.40000027,0.375
1,17,0.13609013,0.125
1,18,0.68499637,0.625
1,19,0.53019595,0.5
1,20,0.2661532,0.25
1,21,0.2031623,0.25
1,22,0.39431694,0.375
1,23,0.2559678,0.25
1,24,0.48903036,0.5
1,25,0.3798926,0.375
1,26,0.123716116,0.125
1,27,0.23152544,0.25
1,28,0.2506282,0.25
1,29,0.22683567,0.25
1,30,0.12519655,0.125
1,31,0.245622,0.25
1,32,0.41525048,0.5
1,33,0.112090014,0.125
1,34,0.3575894,0.375
1,35,0.44190416,0.5
1,36,0.12780797,0.25
1,37,0.24573316,0.375
1,38,0.302662,0.375
1,39,0.44952887,0.5
1,40,0.2474226,0.25
1,41,0.5158042,0.625
1,42,0.27449647,0.375
1,43,0.21068679,0.375
1,44,0.3188533,0.375
1,45,0.30366826,0.375
1,46,0.28657532,0.375
1,47,0.26400644,0.375
1,48,0.22107625,0.375
1,49,0.22225852,0.25
1,50,0.2173618,0.375
1,51,0.32355964,0.375
1,52,0.35647666,0.5
1,53,0.20049483,0.25
1,54,0.25336513,0.375
1,55,0.26246998,0.375
1,56,0.333949,0.5
1,57,0.330917,0.5
1,58,0.18968064,0.25
1,59,0.28582397,0.375
1,60,0.20983745,0.25
1,61,0.27510184,0.375
1,62,0.43586674,0.625
1,63,0.21378258,0.375
1,64,0.2834674,0.5
1,65,0.33739445,0.625
1,66,0.2934435,0.375
1,67,0.2198088,0.375
1,68,0.075991035,0.0
2,69,0.3734226,0.625
2,70,0.062491298,0.125
2,71,0.44613117,0.75
2,72,0.15624315,0.25
2,73,0.40452525,0.625
2,74,0.172111,0.375
2,75,0.08060112,0.125
2,76,0.19399598,0.25
2,77,0.29200566,0.5
2,78,0.19898412,0.25
2,79,0.26674423,0.5
2,80,0.12775591,0.125
2,81,0.19179647,0.375
2,82,0.20696966,0.25
2,83,0.2917442,0.5
2,84,0.15956353,0.25
2,85,0.31528637,0.5
2,86,0.30177355,0.625
2,87,0.29978648,0.5
2,88,0.25850865,0.5
2,89,0.17977968,0.25
2,90,0.18318601,0.25
2,91,0.2888553,0.5
2,92,0.13583383,0.125
2,93,0.32771492,0.75
2,94,0.23460028,0.375
2,95,0.23416944,0.375
2,96,0.15556438,0.25
2,97,0.15284202,0.25
2,98,0.14631379,0.25
2,99,0.18089621,0.5
2,100,0.34823373,0.75
2,101,0.34238744,0.75
2,102,0.17251197,0.375
2,103,0.14530064,0.25
2,104,0.1793567,0.25
2,105,0.17363468,0.375
2,106,0.18595518,0.25
2,107,0.07743259,0.25
2,108,0.35204184,0.625
2,109,0.14560574,0.25
2,110,0.15268457,0.125
2,111,0.20618483,0.375
2,112,0.11221092,0.25
2,113,0.16997626,0.25
2,114,0.25823766,0.375
2,115,0.2337349,0.375
2,116,0.156741,0.25
2,117,0.24991184,0.5
2,118,0.08466522,0.125
2,119,0.11724901,0.25
2,120,0.28095135,0.125
2,121,0.26244858,0.375
2,122,0.16346169,0.25
2,123,0.22168918,0.625
2,124,0.24694993,0.375
2,125,0.111268744,0.125
2,126,0.101491675,0.125
2,127,0.090171486,0.0
2,128,0.1390893,0.25
2,129,0.15917769,0.25
2,130,0.12325219,0.25
2,131,0.23172387,0.5
2,132,0.19937699,0.5
2,133,0.33934033,0.625
2,134,0.17446956,0.375
2,135,0.31180227,0.625
2,136,0.15504715,0.0
3,137,0.18949278,0.125
3,138,0.13287765,0.375
3,139,0.19251712,0.625
3,140,0.19617537,0.25
3,141,0.14794004,0.25
3,142,0.15751702,0.25
3,143,0.18366016,0.25
3,144,0.1824869,0.5
3,145,0.1675276,0.5
3,146,0.18668292,0.375
3,147,0.2689808,0.5
3,148,0.32232806,0.5
3,149,0.18499091,0.375
3,150,0.14042884,0.375
3,151,0.14963263,0.25
3,152,0.16198754,0.375
3,153,0.11320938,0.25
3,154,0.30324894,0.5
3,155,0.15187551,0.375
